ec5_uuid,created_at,uploaded_at,title,1_Surveyor_Name,2_Park_Location,3_Tree_ID,4_Photo,5_Tree_Height_ft,lat_6_Location,long_6_Location,accuracy_6_Location,UTM_Northing_6_Location,UTM_Easting_6_Location,UTM_Zone_6_Location,7_Diameter_at_Breast,8_Tree_Spread_tip_to,9_Tree_Spread_tip_to,10_Tree_Condition,11_Notes_eg_mushroom,Species
bbaaa0da-f72b-4c3f-8d0f-15913a19f8f0,2026-07-03T13:04:53.000Z,2026-07-03T13:58:07.000Z,bbaaa0da-f72b-4c3f-8d0f-15913a19f8f0,Matt,RH-P,36,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=bbaaa0da-f72b-4c3f-8d0f-15913a19f8f0_1783083779.jpg,137,39.656417,-75.757023,4,4389897,435057,18S,32,26,30,Good,Sample 2 estimate,
c7ebb2e9-cff2-458e-aee3-b91f6503e6bb,2026-07-03T13:00:23.000Z,2026-07-03T13:00:39.000Z,c7ebb2e9-cff2-458e-aee3-b91f6503e6bb,Matt,RH-P,35,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=c7ebb2e9-cff2-458e-aee3-b91f6503e6bb_1783083521.jpg,124,39.655776,-75.757309,15,4389826,435032,18S,29,45,32,Good,Spread 2 estimate,
1b577d22-c114-450c-893d-a97b8fda2b8f,2026-07-03T12:58:18.000Z,2026-07-03T13:00:34.000Z,1b577d22-c114-450c-893d-a97b8fda2b8f,Matt,RH-P,34,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=1b577d22-c114-450c-893d-a97b8fda2b8f_1783083302.jpg,128,39.65585,-75.75726,5,4389835,435036,18S,24,24,24,Good,Spread 2 estimate,
16c12fa2-a70d-45ab-8203-a7f5d5339ab7,2026-07-02T14:59:36.000Z,2026-07-03T12:59:00.000Z,16c12fa2-a70d-45ab-8203-a7f5d5339ab7,Other,RH-P,33,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=16c12fa2-a70d-45ab-8203-a7f5d5339ab7_1783004163.jpg,190,39.655439,-75.757248,15,4389789,435037,18S,44,62,58,Good,,
d935aa0b-1e6e-4db2-88ec-bf4e3ffbbdc7,2026-07-02T14:55:38.000Z,2026-07-03T12:58:55.000Z,d935aa0b-1e6e-4db2-88ec-bf4e3ffbbdc7,Other,RH-P,32,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=d935aa0b-1e6e-4db2-88ec-bf4e3ffbbdc7_1783004109.jpg,150,39.655282,-75.757193,21,4389771,435042,18S,33,58,42,Good,Estimate both spreads,
94057879-bc3a-44f4-85ee-0295c36d3119,2026-07-02T14:53:23.000Z,2026-07-03T12:58:49.000Z,94057879-bc3a-44f4-85ee-0295c36d3119,Other,RH-P,31,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=94057879-bc3a-44f4-85ee-0295c36d3119_1783003918.jpg,85,39.655375,-75.757146,17,4389782,435046,18S,29,38,42,Good,Estimate both spreads,
d5555b6d-cdd1-47fc-9671-d209a24c31b4,2026-07-02T14:51:15.000Z,2026-07-03T12:58:42.000Z,d5555b6d-cdd1-47fc-9671-d209a24c31b4,Other,RH-P,30,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=d5555b6d-cdd1-47fc-9671-d209a24c31b4_1783003858.jpg,58,39.655373,-75.757147,15,4389782,435046,18S,24,23,25,Good,,
44a2b046-d3be-4d4c-8715-a6b6c8777e99,2026-07-02T14:49:37.000Z,2026-07-03T12:58:37.000Z,44a2b046-d3be-4d4c-8715-a6b6c8777e99,Other,RH-P,29,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=44a2b046-d3be-4d4c-8715-a6b6c8777e99_1783003680.jpg,98,39.655397,-75.757198,7,4389784,435041,18S,20,42,13,Good,Estimate spread 2,
10d50f17-0d20-4fb3-a7e6-2d96d060a5b3,2026-07-02T14:47:18.000Z,2026-07-03T12:58:32.000Z,10d50f17-0d20-4fb3-a7e6-2d96d060a5b3,Other,RH-P,28,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=10d50f17-0d20-4fb3-a7e6-2d96d060a5b3_1783003482.jpg,58,39.655408,-75.757149,18,4389785,435045,18S,41,46,42,Good,estimate on height,
f186f407-7092-4d9e-855a-d656287beafd,2026-07-02T14:43:48.000Z,2026-07-03T12:58:27.000Z,f186f407-7092-4d9e-855a-d656287beafd,Other,RH-P,27,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=f186f407-7092-4d9e-855a-d656287beafd_1783003371.jpg,42,39.655538,-75.757173,15,4389800,435043,18S,27,22,27,Good,,
57d11090-a223-4aa8-bd67-3aa7425f410d,2026-07-02T14:40:39.000Z,2026-07-03T12:58:21.000Z,57d11090-a223-4aa8-bd67-3aa7425f410d,Other,RH-P,25,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=57d11090-a223-4aa8-bd67-3aa7425f410d_1783003145.jpg,144,39.655541,-75.757133,10,4389800,435047,18S,30,72,42,Good,,
d384d43c-bcf7-4de9-be41-28eabec83f85,2026-07-02T14:38:00.000Z,2026-07-03T12:58:16.000Z,d384d43c-bcf7-4de9-be41-28eabec83f85,Other,RH-P,24,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=d384d43c-bcf7-4de9-be41-28eabec83f85_1783002991.jpg,144,39.655583,-75.75714,10,4389805,435046,18S,19,33,58,Good,Spread 2 is an estimate,
c556aa9a-0d7e-42c7-8507-38f6adf1cf0e,2026-07-02T14:35:37.000Z,2026-07-03T12:57:54.000Z,c556aa9a-0d7e-42c7-8507-38f6adf1cf0e,Other,RH-P,23,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=c556aa9a-0d7e-42c7-8507-38f6adf1cf0e_1783002807.jpg,146,39.655603,-75.757181,12,4389807,435043,18S,30,27,61,Good,,
4f1fb316-ab25-4e38-a8f1-3aae46b0e9c7,2026-07-02T14:32:17.000Z,2026-07-03T12:57:49.000Z,4f1fb316-ab25-4e38-a8f1-3aae46b0e9c7,Other,RH-P,22,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=4f1fb316-ab25-4e38-a8f1-3aae46b0e9c7_1783002597.jpg,147,39.655666,-75.757139,9,4389814,435047,18S,31,45,30,Good,Has holes and burrows at the bottom,
65bd8c47-cf3a-4aff-88a5-5d3c94ab2f18,2026-07-02T14:28:43.000Z,2026-07-03T12:57:44.000Z,65bd8c47-cf3a-4aff-88a5-5d3c94ab2f18,Other,RH-P,21,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=65bd8c47-cf3a-4aff-88a5-5d3c94ab2f18_1783002360.jpg,133,39.655741,-75.757124,7,4389822,435048,18S,32,59,36,Good,,
0b572f1e-7835-47fd-82a6-a249aac5f3be,2026-07-02T14:25:08.000Z,2026-07-03T12:57:38.000Z,0b572f1e-7835-47fd-82a6-a249aac5f3be,Other,RH-P,20,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=0b572f1e-7835-47fd-82a6-a249aac5f3be_1783002118.jpg,157,39.655886,-75.757076,8,4389838,435052,18S,27,33,41,Good,,
a18e7ffd-a25e-45d4-9f35-6e8eb07d7eb1,2026-07-02T14:21:06.000Z,2026-07-03T12:57:33.000Z,a18e7ffd-a25e-45d4-9f35-6e8eb07d7eb1,Other,RH-P,18,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=a18e7ffd-a25e-45d4-9f35-6e8eb07d7eb1_1783001963.jpg,112,39.655742,-75.757105,13,4389822,435050,18S,20,27,30,Good,,
98716c01-802b-4d0b-9b26-abb749714c2f,2026-07-02T14:18:41.000Z,2026-07-03T12:57:28.000Z,98716c01-802b-4d0b-9b26-abb749714c2f,Other,RH-P,17,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=98716c01-802b-4d0b-9b26-abb749714c2f_1783001795.jpg,153,39.655774,-75.757077,9,4389826,435052,18S,24,26,31,Good,,
0a8028c4-5794-44c5-b58f-e0ded7e72ffd,2026-07-02T14:15:16.000Z,2026-07-03T12:57:22.000Z,0a8028c4-5794-44c5-b58f-e0ded7e72ffd,Other,RH-P,16,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=0a8028c4-5794-44c5-b58f-e0ded7e72ffd_1783001440.jpg,138,39.656098,-75.756991,7,4389862,435060,18S,22,43,33,Good,,
dd279c09-901a-440f-a897-5635a6d07ce3,2026-07-02T14:09:11.000Z,2026-07-03T12:57:17.000Z,dd279c09-901a-440f-a897-5635a6d07ce3,Other,RH-P,15,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=dd279c09-901a-440f-a897-5635a6d07ce3_1783001262.jpg,147,39.655825,-75.757108,8,4389832,435049,18S,41,61,40,Good,Multi branch,
1f4e16e3-1359-4c4d-ac3c-1a44b7f34081,2026-07-02T14:06:57.000Z,2026-07-03T12:57:12.000Z,1f4e16e3-1359-4c4d-ac3c-1a44b7f34081,Other,RH-P,14,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=1f4e16e3-1359-4c4d-ac3c-1a44b7f34081_1783001160.jpg,131,39.655872,-75.757094,11,4389837,435051,18S,24,32,51,Good,,
c8ce2a32-c4b2-4bbf-9078-add910db7f38,2026-07-02T14:05:20.000Z,2026-07-03T12:57:07.000Z,c8ce2a32-c4b2-4bbf-9078-add910db7f38,Other,RH-P,13,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=c8ce2a32-c4b2-4bbf-9078-add910db7f38_1783001047.jpg,59,39.655893,-75.757091,16,4389839,435051,18S,17,41,41,Good,,
